regiao;filial;real_mes;grupo
REGIÃO 25 - GUARAPUAVA;577;104790,02;Regionais
REGIÃO 25 - GUARAPUAVA;666;190044,81;LN_1a
REGIÃO 25 - GUARAPUAVA;672;94149,05;LN_1a
REGIÃO 26 - DOURADOS;362;166206,31;Regionais
REGIÃO 26 - DOURADOS;420;107739,2;Regionais
REGIÃO 26 - DOURADOS;460;153169,72;Regionais
REGIÃO 26 - DOURADOS;530;83819,9;Regionais
REGIÃO 26 - DOURADOS;541;209148,49;Regionais
REGIÃO 26 - DOURADOS;555;136109,94;MNM_LN
REGIÃO 26 - DOURADOS;557;169851,3;Regionais
REGIÃO 26 - DOURADOS;560;38576,05;MNM_LN
REGIÃO 26 - DOURADOS;567;119688,18;Regionais
REGIÃO 26 - DOURADOS;571;109059,76;Regionais
REGIÃO 26 - DOURADOS;579;259870,71;MNM_LN
REGIÃO 26 - DOURADOS;606;117916,43;Regionais
REGIÃO 26 - DOURADOS;653;117011,47;LN_1a
REGIÃO 26 - DOURADOS;661;213267,25;LN_1a
